T,batch_size,fairness_gap,min_coverage,max_coverage,avg_coverage,coverage_std,num_variables,num_constraints,total_time,build_time,model_build_time,solve_time
3,100,3,0,3,0.6,1.2,151,2551,0.06644797325134277,0.02204108238220215,0.019863128662109375,0.006879091262817383
3,1000,3,0,3,1.02,1.4211263138792416,1051,2551,0.1260819435119629,0.012778043746948242,0.07671022415161133,0.012227058410644531
6,100,6,0,6,1.2,2.4,151,2551,0.05011391639709473,0.003275632858276367,0.024498939514160156,0.009435176849365234
6,1000,6,0,6,2.04,2.842252627758483,1051,2551,0.22208189964294434,0.027766942977905273,0.1553800106048584,0.013186931610107422
6,10000,0,6,6,6.0,0.0,10051,2551,2.520357847213745,0.4174330234527588,1.8954508304595947,0.07378673553466797
6,100000,0,6,6,6.0,0.0,82302,2551,26.008126974105835,6.976042032241821,16.611998081207275,1.4096930027008057
6,1000000,0,6,6,6.0,0.0,82302,2551,26.14784598350525,6.941365003585815,16.773594856262207,1.4077351093292236
9,100,9,0,9,1.8,3.6,151,2551,0.22784805297851562,0.1754317283630371,0.028901100158691406,0.006475687026977539
9,1000,9,0,9,3.06,4.263378941637724,1051,2551,0.30356693267822266,0.04640793800354004,0.21878790855407715,0.011754035949707031
9,10000,0,9,9,9.0,0.0,10051,2551,3.596869945526123,0.6409709453582764,2.7434773445129395,0.07636499404907227
9,100000,0,9,9,9.0,0.0,82302,2551,37.88960385322571,10.080574989318848,25.326658010482788,1.4358527660369873
9,1000000,0,9,9,9.0,0.0,82302,2551,38.94948410987854,10.567510843276978,25.814132928848267,1.507443904876709
