objective,solve_time,num_variables,num_constraints,model_status,max_movement,num_ambulances,num_configs,config_size,max_config_frequency,mip_gap,fairness_gap,min_coverage,max_coverage,avg_coverage,total_movement,total_time
0.0,0.01985311508178711,356,2676,2,10,35,5,5,3,0.0,0,6,6,6.0,18,0.2575240135192871
0.0,0.03061079978942871,806,2856,2,10,35,20,20,3,0.0,0,6,6,6.0,30,0.06881594657897949
0.0,0.04702186584472656,1556,3156,2,10,35,45,45,3,0.0,0,6,6,6.0,45,0.0856928825378418
0.0,0.05213189125061035,2606,3576,2,10,35,80,80,3,0.0,0,6,6,6.0,15,0.09809184074401855
0.0,0.0777578353881836,3956,4116,2,10,35,125,125,3,0.0,0,6,6,6.0,43,0.13756418228149414
0.0,0.06168007850646973,5606,4776,2,10,35,180,180,3,0.0,0,6,6,6.0,0,0.1317141056060791
0.0,0.19226527214050293,7556,5556,2,10,35,245,245,3,0.0,0,6,6,6.0,35,0.3068821430206299
0.0,0.16523003578186035,9806,6456,2,10,35,320,320,3,0.0,0,6,6,6.0,43,0.524634838104248
0.0,0.16196680068969727,12356,7476,2,10,35,405,405,3,0.0,0,6,6,6.0,0,0.30254602432250977
0.0,0.4141669273376465,15206,8616,2,10,35,500,500,3,0.0,0,6,6,6.0,18,0.574286937713623
0.0,0.3051021099090576,18356,9876,2,10,35,605,605,3,0.0,0,6,6,6.0,0,0.48360610008239746
0.0,0.4049398899078369,21806,11256,2,10,35,720,720,3,0.0,0,6,6,6.0,0,0.6360881328582764
0.0,0.5460231304168701,25556,12756,2,10,35,845,845,3,0.0,0,6,6,6.0,0,0.8085379600524902
0.0,1.2321221828460693,29606,14376,2,10,35,980,980,3,0.0,0,6,6,6.0,31,1.5466358661651611
0.0,0.8807449340820312,33956,16116,2,10,35,1125,1125,3,0.0,0,6,6,6.0,50,1.230881929397583
0.0,0.8642170429229736,38606,17976,2,10,35,1280,1280,3,0.0,0,6,6,6.0,0,1.2765367031097412
0.0,1.1460490226745605,43556,19956,2,10,35,1445,1445,3,0.0,0,6,6,6.0,37,1.6474831104278564
0.0,1.1043412685394287,48806,22056,2,10,35,1620,1620,3,0.0,0,6,6,6.0,0,1.6488382816314697
0.0,0.5610659122467041,54356,24276,2,10,35,1805,1805,3,0.0,0,6,6,6.0,0,1.1265239715576172
